branch_trigger_threshold,branch_budget,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
0.001095,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,28,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001173,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,27,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001256,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,26,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001431,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,25,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.001684,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,24,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.00202,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,22,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002164,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,21,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002763,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,21,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.002911,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,20,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.003491,1,49,49,1.0,48,0.9795918367346939,7.163265306122449,8.979591836734693,5.0,19.60000000000001,36.199999999999875,48.0,19,6,6,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
