fpr,tpr
0.0,0.0
0.0,0.0012135922330097086
0.0,0.06674757281553398
0.0008503401360544217,0.06674757281553398
0.0008503401360544217,0.15169902912621358
0.0017006802721088435,0.15169902912621358
0.0017006802721088435,0.1638349514563107
0.002551020408163265,0.1638349514563107
0.002551020408163265,0.20752427184466019
0.003401360544217687,0.20752427184466019
0.003401360544217687,0.27427184466019416
0.004251700680272109,0.27427184466019416
0.004251700680272109,0.2827669902912621
0.00510204081632653,0.2827669902912621
0.00510204081632653,0.30097087378640774
0.005952380952380952,0.30097087378640774
0.005952380952380952,0.30461165048543687
0.006802721088435374,0.30461165048543687
0.006802721088435374,0.32524271844660196
0.007653061224489796,0.32524271844660196
0.007653061224489796,0.32645631067961167
0.008503401360544218,0.32645631067961167
0.008503401360544218,0.3470873786407767
0.00935374149659864,0.3470873786407767
0.00935374149659864,0.36893203883495146
0.011054421768707483,0.36893203883495146
0.011054421768707483,0.37985436893203883
0.011904761904761904,0.37985436893203883
0.011904761904761904,0.41019417475728154
0.012755102040816327,0.41019417475728154
0.012755102040816327,0.41262135922330095
0.013605442176870748,0.41262135922330095
0.013605442176870748,0.4174757281553398
0.015306122448979591,0.4174757281553398
0.015306122448979591,0.4211165048543689
0.016156462585034014,0.4211165048543689
0.016156462585034014,0.42718446601941745
0.017006802721088437,0.42718446601941745
0.017006802721088437,0.4429611650485437
0.017857142857142856,0.4429611650485437
0.017857142857142856,0.46237864077669905
0.01870748299319728,0.46237864077669905
0.01870748299319728,0.470873786407767
0.0195578231292517,0.470873786407767
0.0195578231292517,0.47451456310679613
0.02040816326530612,0.47451456310679613
0.02040816326530612,0.4878640776699029
0.022108843537414966,0.4878640776699029
0.022108843537414966,0.49029126213592233
0.02295918367346939,0.49029126213592233
0.02295918367346939,0.49393203883495146
0.023809523809523808,0.49393203883495146
0.023809523809523808,0.49514563106796117
0.02465986394557823,0.49514563106796117
0.02465986394557823,0.5097087378640777
0.025510204081632654,0.5097087378640777
0.025510204081632654,0.5109223300970874
0.026360544217687076,0.5109223300970874
0.026360544217687076,0.5121359223300971
0.027210884353741496,0.5121359223300971
0.027210884353741496,0.5206310679611651
0.02806122448979592,0.5206310679611651
0.02806122448979592,0.5266990291262136
0.02891156462585034,0.5266990291262136
0.02891156462585034,0.529126213592233
0.02976190476190476,0.529126213592233
0.02976190476190476,0.5449029126213593
0.030612244897959183,0.5449029126213593
0.030612244897959183,0.5509708737864077
0.031462585034013606,0.5509708737864077
0.031462585034013606,0.5594660194174758
0.03231292517006803,0.5594660194174758
0.03231292517006803,0.5631067961165048
0.03316326530612245,0.5631067961165048
0.03316326530612245,0.5655339805825242
0.03571428571428571,0.5655339805825242
0.03571428571428571,0.5679611650485437
0.036564625850340135,0.5679611650485437
0.036564625850340135,0.5764563106796117
0.03741496598639456,0.5764563106796117
0.03741496598639456,0.5861650485436893
0.03826530612244898,0.5861650485436893
0.03826530612244898,0.5946601941747572
0.0391156462585034,0.5946601941747572
0.0391156462585034,0.6019417475728155
0.039965986394557826,0.6019417475728155
0.039965986394557826,0.6104368932038835
0.04251700680272109,0.6104368932038835
0.04251700680272109,0.6116504854368932
0.04336734693877551,0.6116504854368932
0.04336734693877551,0.6128640776699029
0.04421768707482993,0.6128640776699029
0.04421768707482993,0.6152912621359223
0.045068027210884355,0.6152912621359223
0.045068027210884355,0.6177184466019418
0.04591836734693878,0.6177184466019418
0.04591836734693878,0.6189320388349514
0.0467687074829932,0.6189320388349514
0.0467687074829932,0.6274271844660194
0.04846938775510204,0.6274271844660194
0.04846938775510204,0.6322815533980582
0.04931972789115646,0.6322815533980582
0.04931972789115646,0.6407766990291263
0.050170068027210885,0.6407766990291263
0.050170068027210885,0.6444174757281553
0.05102040816326531,0.6444174757281553
0.05102040816326531,0.6553398058252428
0.05187074829931973,0.6553398058252428
0.05187074829931973,0.6577669902912622
0.05272108843537415,0.6577669902912622
0.05272108843537415,0.6638349514563107
0.05357142857142857,0.6638349514563107
0.05357142857142857,0.6662621359223301
0.05442176870748299,0.6662621359223301
0.05442176870748299,0.6686893203883495
