feature,importance_mean,importance_std
anchor_bayes_posterior,0.03676229565952199,0.007560804049130565
anchor_graph_score,0.03631824631973901,0.0035559442893402515
anchor_bayes_rank,0.019268939324300738,0.0055774954353786654
bayes_top_posterior,0.010976607753618306,0.0018233571824156636
mlp_confidence,0.0076484971978996175,0.0004047214938057708
graph_margin,0.006680882955360401,0.0006728597453630192
bayes_margin,0.005803641898895429,0.001771433423431612
graph_top_score,0.004364790111749506,1.8163284609684638e-05
graph_bayes_agree,0.0042496542223133815,0.0014557558150515293
pair_coverage,0.0034432821276488834,0.0006786210251450431
anchor_mlp_posterior,0.002824068538374247,0.0005658374044440473
mlp_entropy,0.002687397973693384,0.001145789769706751
request_count,0.0018708783057235778,0.0001247334034075176
ledger_disagrees_anchor,0.0010008302662878332,0.00012588563131377128
visible_root_count,0.0007611456350175572,3.5046010014583295e-06
mlp_margin,0.0007043511803512814,0.0007129868235651315
all_heads_anchor,-3.635443013683126e-06,0.0005861843094193131
anchor_graph_rank,-0.00012564001827053417,0.0009460732049325626
anchor_mlp_rank,-0.0008840682344815609,0.00047305749113374373
pair_missing_utility,-0.0010523755290676173,0.0024853210891226385
