feature,importance_mean,importance_std
anchor_bayes_posterior,0.015960414910824727,0.0017988132671730717
anchor_graph_score,0.007950840654490865,0.00021667369434480444
ledger_disagrees_anchor,0.005861291843333505,0.001160866847645936
bayes_margin,0.0031120257181602717,0.0005497182677974832
anchor_mlp_rank,0.002936224460646508,0.0011683145526570349
anchor_bayes_rank,0.002832413892768504,0.0010152733592806995
request_count,0.002760349553721231,0.0014772211827175918
bayes_top_posterior,0.002171458634470269,8.599651825830223e-05
graph_margin,0.0021564011971053065,0.0004212742230535471
anchor_graph_rank,0.0009254130024969331,0.00013466630797331902
graph_top_score,0.0009010452389696666,0.0011145839436872973
pair_coverage,0.0006417519978668684,0.0004067517846831903
mlp_entropy,0.0003588710021383279,0.00011985196165870127
all_heads_anchor,-0.0004456483372579645,0.0011076942673580725
mlp_confidence,-0.0009958027353759724,0.001717457865933969
pair_missing_utility,-0.0011549217907388942,0.0006708528019350735
anchor_mlp_posterior,-0.0012283810787611649,0.001082476856497705
mlp_margin,-0.0015725336326696815,0.00023323351221210542
graph_bayes_agree,-0.001663905803779453,0.0002153217115019035
visible_root_count,-0.0022405741181300565,0.000621544354498238
