fpr,tpr
0.0,0.0
0.0,0.0011560693641618498
0.0,0.055491329479768786
0.000881057268722467,0.055491329479768786
0.000881057268722467,0.09942196531791908
0.001762114537444934,0.09942196531791908
0.001762114537444934,0.12254335260115606
0.0026431718061674008,0.12254335260115606
0.0026431718061674008,0.1329479768786127
0.003524229074889868,0.1329479768786127
0.003524229074889868,0.1352601156069364
0.004405286343612335,0.1352601156069364
0.004405286343612335,0.1976878612716763
0.0052863436123348016,0.1976878612716763
0.0052863436123348016,0.19884393063583816
0.006167400881057269,0.19884393063583816
0.006167400881057269,0.22658959537572254
0.007048458149779736,0.22658959537572254
0.007048458149779736,0.24855491329479767
0.007929515418502203,0.24855491329479767
0.007929515418502203,0.27630057803468205
0.00881057268722467,0.27630057803468205
0.00881057268722467,0.28901734104046245
0.009691629955947136,0.28901734104046245
0.009691629955947136,0.2901734104046243
0.010572687224669603,0.2901734104046243
0.010572687224669603,0.292485549132948
0.01145374449339207,0.292485549132948
0.01145374449339207,0.29826589595375724
0.012334801762114538,0.29826589595375724
0.012334801762114538,0.3086705202312139
0.013215859030837005,0.3086705202312139
0.013215859030837005,0.3190751445086705
0.014096916299559472,0.3190751445086705
0.014096916299559472,0.35028901734104045
0.014977973568281937,0.35028901734104045
0.014977973568281937,0.35491329479768785
0.015859030837004406,0.35491329479768785
0.015859030837004406,0.3560693641618497
0.016740088105726872,0.3560693641618497
0.016740088105726872,0.3653179190751445
0.01762114537444934,0.3653179190751445
0.01762114537444934,0.38034682080924853
0.018502202643171806,0.38034682080924853
0.018502202643171806,0.3884393063583815
0.019383259911894272,0.3884393063583815
0.019383259911894272,0.42658959537572255
0.02026431718061674,0.42658959537572255
0.02026431718061674,0.4393063583815029
0.021145374449339206,0.4393063583815029
0.021145374449339206,0.4416184971098266
0.024669603524229075,0.4416184971098266
0.024669603524229075,0.45202312138728323
0.02555066079295154,0.45202312138728323
0.02555066079295154,0.45895953757225433
0.02643171806167401,0.45895953757225433
0.02643171806167401,0.47167630057803467
0.027312775330396475,0.47167630057803467
0.027312775330396475,0.48323699421965316
0.028193832599118944,0.48323699421965316
0.028193832599118944,0.4890173410404624
0.02907488986784141,0.4890173410404624
0.02907488986784141,0.49017341040462425
0.029955947136563875,0.49017341040462425
0.029955947136563875,0.522543352601156
0.030837004405286344,0.522543352601156
0.030837004405286344,0.5445086705202312
0.03171806167400881,0.5445086705202312
0.03171806167400881,0.5560693641618497
0.033480176211453744,0.5560693641618497
0.033480176211453744,0.5907514450867052
0.03436123348017621,0.5907514450867052
0.03436123348017621,0.6
0.03524229074889868,0.6
0.03524229074889868,0.6150289017341041
0.03700440528634361,0.6150289017341041
0.03700440528634361,0.623121387283237
