run_scope,policy_name,diagnostic_only,num_cases,accuracy,correct_count,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,notebook13_accuracy,notebook13_correct_count,notebook13_top3_accuracy,notebook13_top5_accuracy,graph_only_accuracy,graph_only_correct_count,graph_only_top3_accuracy,graph_only_top5_accuracy,changed_predictions,overrides_fired,improvements_vs_notebook13,regressions_vs_notebook13,clip_value,margin_min,require_reference_negative,require_graph_positive
notebook13_49case,conservative_graph_critic_v1_clip3_margin1,False,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9795918367346939,1,1,1,0,3.0,1.0,True,True
notebook13_49case,diagnostic_clip1_margin0,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,1,1,0,0,1.0,0.0,True,True
notebook13_49case,diagnostic_clip1_margin0.5,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,1,1,0,0,1.0,0.5,True,True
notebook13_49case,diagnostic_clip1_margin1,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0,0,0,0,1.0,1.0,True,True
notebook13_49case,diagnostic_clip1_margin1.5,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0,0,0,0,1.0,1.5,True,True
notebook13_49case,diagnostic_clip1_margin2,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0,0,0,0,1.0,2.0,True,True
notebook13_49case,diagnostic_clip2_margin0,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,2,2,1,0,2.0,0.0,True,True
notebook13_49case,diagnostic_clip2_margin0.5,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,2,2,1,0,2.0,0.5,True,True
notebook13_49case,diagnostic_clip2_margin1,True,49,0.8979591836734694,44,0.9387755102040817,0.9387755102040817,0.8673469387755102,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,2,2,1,0,2.0,1.0,True,True
notebook13_49case,diagnostic_clip2_margin1.5,True,49,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.591836734693878,5.0,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8979591836734694,44,0.9591836734693877,0.9591836734693877,0,0,0,0,2.0,1.5,True,True
