feature,importance_mean,importance_std
bayes_top_posterior,0.022401067743101577,0.007793208724318101
anchor_graph_rank,0.018726970062714454,0.007128004837794355
ledger_disagrees_anchor,0.01234077753417201,0.001365635357493844
mlp_confidence,0.01142846777107781,0.00047526952031490266
anchor_bayes_posterior,0.010546293160790254,0.004642793311639193
graph_margin,0.008454831590271217,0.0019437764393165913
visible_root_count,0.0031717652087525083,0.0016480517941397377
anchor_graph_score,0.0030412773152337924,0.00026469511153220937
request_count,0.001770449243483907,0.005072978532680628
pair_missing_utility,0.0013440440726389946,0.003694866927212881
all_heads_anchor,0.0011825868670479744,0.0033866968505545936
pair_coverage,0.0011130082130472174,4.1516084443971035e-05
bayes_margin,0.0010334826573422662,0.005230140968405239
mlp_margin,-1.8098526602616793e-05,0.0011958369871351016
anchor_mlp_posterior,-0.0005757772862572397,0.0006852834267222496
anchor_mlp_rank,-0.0008135969175226965,0.000672263210947377
mlp_entropy,-0.001300434633377534,0.0028089387441624925
graph_top_score,-0.0038107946288851724,0.0010713495253760752
anchor_bayes_rank,-0.0039590775360513475,2.190769578397367e-05
graph_bayes_agree,-0.00500237356425931,0.0015731778888884995
