precision,recall
0.4355,1.0
0.43571785892946474,1.0
0.43593593593593594,1.0
0.4361542313470205,1.0
0.436372745490982,1.0
0.43659147869674186,1.0
0.43681043129388164,1.0
0.43702960361264426,1.0
0.43724899598393574,1.0
0.43746860873932697,1.0
0.4376884422110553,1.0
0.43790849673202614,1.0
0.4381287726358149,1.0
0.43834927025666837,1.0
0.4385699899295065,1.0
0.4387909319899244,1.0
0.43901209677419356,1.0
0.43923348461926376,1.0
0.4394550958627649,1.0
0.4396769308430086,1.0
0.4398989898989899,1.0
0.4401212733703891,1.0
0.4403437815975733,1.0
0.4405665149215984,1.0
0.4407894736842105,1.0
0.4410126582278481,1.0
0.4412360688956434,1.0
0.4414597060314242,1.0
0.44168356997971603,1.0
0.44190766108574325,1.0
0.4421319796954315,1.0
0.4423565261554088,1.0
0.4425813008130081,1.0
0.4428063040162684,1.0
0.4430315361139369,1.0
0.44325699745547076,1.0
0.4434826883910387,1.0
0.44370860927152317,1.0
0.4439347604485219,1.0
0.44416114227434983,1.0
0.4443877551020408,1.0
0.4446145992853497,1.0
0.44484167517875384,1.0
0.4450689831374553,1.0
0.4452965235173824,1.0
0.44552429667519183,1.0
0.44575230296827023,1.0
0.4459805427547363,1.0
0.4462090163934426,1.0
0.44643772424397743,1.0
0.44666666666666666,1.0
0.4468958440225757,1.0
0.4471252566735113,1.0
0.4473549049820236,1.0
0.447584789311408,1.0
0.44781491002570695,1.0
0.4480452674897119,1.0
0.4482758620689655,1.0
0.44850669412976313,1.0
0.44873776403915505,1.0
0.44896907216494847,1.0
0.4492006188757091,1.0
0.44943240454076366,1.0
0.44966442953020136,1.0
0.44989669421487605,1.0
0.4501291989664083,1.0
0.45036194415718717,1.0
0.4505949301603725,1.0
0.4508281573498965,1.0
0.4510616261004661,1.0
0.4512953367875648,1.0
0.45152928978745466,1.0
0.45176348547717843,1.0
0.4519979242345615,1.0
0.4522326064382139,1.0
0.45246753246753246,1.0
0.4527027027027027,1.0
0.452938117524701,1.0
0.45317377731529657,1.0
0.4534096824570536,1.0
0.45364583333333336,1.0
0.453882230328296,1.0
0.454118873826903,1.0
0.45435576421491913,1.0
0.4545929018789144,1.0
0.45483028720626634,1.0
0.455067920585162,1.0
0.4553058024046001,1.0
0.4555439330543933,1.0
0.4557823129251701,1.0
0.456020942408377,1.0
0.4562598218962808,1.0
0.45649895178197064,1.0
0.45673833245936024,1.0
0.45697796432318993,1.0
0.45721784776902885,1.0
0.4574579831932773,1.0
0.4576983709931687,1.0
0.4579390115667718,1.0
0.4581799053129932,1.0
0.45842105263157895,1.0
0.45866245392311744,1.0
0.4589041095890411,1.0
0.4591460200316289,1.0
0.45938818565400846,1.0
0.45963060686015833,1.0
0.45987328405491024,1.0
0.4601162176439514,1.0
0.46035940803382663,1.0
0.46060285563194076,1.0
0.46084656084656084,1.0
0.46109052408681844,1.0
0.4613347457627119,1.0
0.4615792262851086,1.0
0.4618239660657476,1.0
0.46206896551724136,1.0
0.46231422505307856,1.0
0.46255974508762615,1.0
0.4628055260361318,1.0
0.4630515683147262,1.0
0.4632978723404255,1.0
0.4635444385311336,1.0
0.4637912673056443,1.0
0.4640383590836441,1.0
0.4642857142857143,1.0
0.46453333333333335,1.0
0.4647812166488794,1.0
0.46502936465563266,1.0
0.4652777777777778,1.0
0.4655264564404062,1.0
0.4657754010695187,1.0
0.46602461209202783,1.0
0.4662740899357602,1.0
0.46652383502945904,1.0
0.4667738478027867,1.0
0.4670241286863271,1.0
0.46727467811158796,1.0
0.4675254965110038,1.0
0.4677765843179377,1.0
0.46802794196668457,1.0
0.4682795698924731,1.0
0.46853146853146854,1.0
0.468783638320775,1.0
0.46903607969843836,1.0
0.4692887931034483,1.0
0.46954177897574123,1.0
0.4697950377562028,1.0
0.47004856988667026,1.0
0.4703023758099352,1.0
0.4705564559697461,1.0
0.47081081081081083,1.0
0.47106544077879936,1.0
0.4713203463203463,1.0
0.4715755278830536,1.0
0.47183098591549294,1.0
0.47208672086720865,1.0
0.47234273318872017,1.0
0.4725990233315247,1.0
0.4728555917480999,1.0
0.4731124388919066,1.0
0.4733695652173913,1.0
0.47362697117998914,1.0
0.4738846572361262,1.0
0.47414262384322264,1.0
0.474400871459695,1.0
0.47465940054495914,1.0
0.4749182115594329,1.0
0.475177304964539,1.0
0.47543668122270744,1.0
0.4756963407973785,1.0
0.47595628415300545,1.0
0.4762165117550574,1.0
0.4764770240700219,1.0
0.4767378215654078,1.0
0.4769989047097481,1.0
0.47726027397260273,1.0
0.47752192982456143,1.0
0.4777838727372463,1.0
0.47804610318331503,1.0
0.4783086216364635,1.0
0.4785714285714286,1.0
0.4788345244639912,1.0
0.4790979097909791,1.0
0.47936158503026965,1.0
0.47962555066079293,1.0
0.47988980716253443,1.0
0.480154355016538,1.0
0.480419194704909,1.0
0.4806843267108168,1.0
0.48094975151849806,1.0
0.48121546961325967,1.0
0.48148148148148145,1.0
0.4817477876106195,1.0
0.48201438848920863,1.0
0.482281284606866,1.0
0.4825484764542936,1.0
0.48281596452328157,1.0
0.48308374930671105,1.0
0.48335183129855713,1.0
0.4836202109938923,1.0
0.48388888888888887,1.0
0.4841578654808227,1.0
0.4844271412680756,1.0
0.48469671675013914,1.0
0.4849665924276169,1.0
0.48523676880222844,1.0
0.4855072463768116,1.0
0.4857780256553263,1.0
0.48604910714285715,1.0
0.486320491345617,1.0
0.48659217877094973,1.0
0.4868641699273337,1.0
0.48713646532438476,1.0
0.48740906547285956,1.0
0.4876819708846585,1.0
0.4879551820728291,1.0
0.4882286995515695,1.0
0.48850252383623105,1.0
0.4887766554433221,1.0
0.48905109489051096,1.0
0.4893258426966292,1.0
0.4896008993816751,1.0
0.4898762654668167,1.0
0.49015194147439506,1.0
0.49042792792792794,1.0
0.49070422535211267,1.0
0.49098083427282974,1.0
0.4912577552171461,1.0
0.4915349887133183,1.0
0.49181253529079616,1.0
0.492090395480226,1.0
0.49236856981345395,1.0
0.49264705882352944,1.0
0.49292586304470853,1.0
0.4932049830124575,1.0
0.4934844192634561,1.0
0.4937641723356009,1.0
0.49404424276800907,1.0
0.49432463110102154,1.0
0.4946053378762067,1.0
0.4948863636363636,1.0
0.49516770892552586,1.0
0.49544937428896474,1.0
0.4957313602731929,1.0
0.4960136674259681,1.0
0.4962962962962963,1.0
0.4965792474344356,1.0
0.4968625213918996,1.0
0.4971461187214612,1.0
0.4974300399771559,1.0
0.4977142857142857,1.0
0.49799885648942255,1.0
0.4982837528604119,1.0
0.4985689753863766,1.0
0.4988545246277205,1.0
0.4991404011461318,1.0
0.4994266055045872,1.0
0.49971313826735514,1.0
0.5,1.0
0.5002871912693854,1.0
0.5005747126436781,1.0
0.5008625646923519,1.0
0.501150747986191,1.0
0.5014392630972941,1.0
0.5017281105990783,1.0
0.5020172910662825,1.0
0.5023068050749712,1.0
0.502596653202539,1.0
0.5028868360277137,1.0
0.5031773541305604,1.0
0.5034682080924856,1.0
0.5037593984962406,1.0
0.5040509259259259,1.0
0.5043427909669947,1.0
0.5046349942062572,1.0
0.504927536231884,1.0
0.5052204176334106,1.0
0.5055136390017412,1.0
0.5058072009291521,1.0
0.5061011040092969,1.0
0.5063953488372093,1.0
0.5066899360093078,1.0
0.5069848661233993,1.0
0.5072801397786838,1.0
0.5075757575757576,1.0
0.5078717201166181,1.0
0.5081680280046674,1.0
0.5084646818447168,1.0
0.5087616822429907,1.0
0.5090590298071304,1.0
0.5093567251461988,1.0
0.5096547688706846,1.0
0.5099531615925058,1.0
0.5102519039250146,1.0
0.5105509964830012,1.0
0.510850439882698,1.0
0.511150234741784,1.0
0.5114503816793893,1.0
0.5117508813160987,1.0
0.5120517342739564,1.0
0.5123529411764706,1.0
0.5126545026486168,1.0
0.5129564193168433,1.0
0.5132586918090748,1.0
0.5135613207547169,1.0
0.5138643067846608,1.0
0.5141676505312869,1.0
0.5144713526284702,1.0
0.514775413711584,1.0
0.5150798344175045,1.0
0.5153846153846153,1.0
0.5156897572528123,1.0
0.5159952606635071,1.0
0.5163011262596325,1.0
0.5166073546856464,1.0
0.5169139465875371,1.0
0.5172209026128266,1.0
0.5175282234105764,1.0
0.5178359096313913,1.0
0.5181439619274242,1.0
0.518452380952381,1.0
0.5187611673615247,1.0
0.5190703218116806,1.0
0.5193798449612403,1.0
0.5196897374701671,1.0
0.52,1.0
0.5203106332138591,1.0
0.5206216377764495,1.0
0.520933014354067,1.0
0.521244763614602,1.0
0.5215568862275449,1.0
0.5218693828639904,1.0
0.5221822541966427,1.0
0.52249550089982,1.0
0.5228091236494598,1.0
0.5231231231231231,1.0
0.5234375,1.0
0.523752254960914,1.0
0.5240673886883274,1.0
0.5243829018663456,1.0
0.5246987951807229,1.0
0.5250150693188668,1.0
0.5253317249698432,1.0
0.5256487628243814,1.0
0.5259661835748792,1.0
0.5262839879154079,1.0
0.526602176541717,1.0
0.5269207501512402,1.0
0.5272397094430993,1.0
0.5275590551181102,1.0
0.5278787878787878,1.0
0.5281989084293511,1.0
0.5285194174757282,1.0
0.5288403157255617,1.0
0.5291616038882139,1.0
0.5294832826747721,1.0
0.5298053527980535,1.0
0.5301278149726111,1.0
0.5304506699147381,1.0
0.5307739183424741,1.0
0.5310975609756098,1.0
0.5314215985356925,1.0
0.5317460317460317,1.0
0.5320708613317043,1.0
0.53239608801956,1.0
0.5327217125382263,1.0
0.533047735618115,1.0
0.5333741579914268,1.0
0.5337009803921569,1.0
0.5340282035561006,1.0
0.5343558282208589,1.0
0.534683855125844,1.0
0.535012285012285,1.0
0.535341118623233,1.0
0.535670356703567,1.0
0.536,1.0
0.5363300492610837,1.0
0.536660505237215,1.0
0.5369913686806412,1.0
0.5373226403454657,1.0
0.5376543209876543,1.0
0.5379864113650401,1.0
0.5383189122373301,1.0
0.53865182436611,1.0
0.5389851485148515,1.0
0.5393188854489164,1.0
0.5396530359355638,1.0
0.5399876007439554,1.0
0.5403225806451613,1.0
0.5406579764121664,1.0
0.5409937888198758,1.0
0.5413300186451212,1.0
0.5416666666666666,1.0
0.5420037336652147,1.0
0.5423412204234122,1.0
0.5426791277258567,1.0
0.5430174563591023,1.0
0.5433562071116657,1.0
0.5436953807740325,1.0
0.5440349781386633,1.0
0.544375,1.0
0.5447154471544715,1.0
0.5450563204005007,1.0
0.5453976205385097,1.0
0.5457393483709273,1.0
0.5460815047021944,1.0
0.5464240903387704,1.0
0.54676710608914,1.0
0.5471105527638191,1.0
0.5474544311753614,1.0
0.5477987421383648,1.0
0.5481434864694776,1.0
0.5484886649874056,1.0
0.5488342785129174,1.0
0.5491803278688525,1.0
0.5495268138801261,1.0
0.5498737373737373,1.0
0.5502210991787745,1.0
0.5505689001264222,1.0
0.5509171410499684,1.0
0.5512658227848102,1.0
0.5516149461684611,1.0
0.5519645120405576,1.0
0.5523145212428662,1.0
0.5526649746192893,1.0
0.553015873015873,1.0
0.5533672172808132,1.0
0.5537190082644629,1.0
0.5540712468193384,1.0
0.5544239338001273,1.0
0.5547770700636943,1.0
0.5551306564690885,1.0
0.5554846938775511,1.0
0.5558391831525208,1.0
0.5561941251596424,1.0
0.5565495207667731,1.0
0.5569053708439897,1.0
0.5572616762635957,1.0
0.557618437900128,1.0
0.5579756566303652,1.0
0.5583333333333333,1.0
0.5586914688903143,1.0
0.5590500641848524,1.0
0.5594091201027617,1.0
0.5597686375321337,1.0
0.5601286173633441,1.0
0.5604890604890604,1.0
0.5608499678042499,1.0
0.5612113402061856,1.0
0.5615731785944552,1.0
0.5619354838709677,1.0
0.5622982569399613,1.0
0.5626614987080103,1.0
0.5630252100840336,1.0
0.5633893919793014,1.0
0.5637540453074433,1.0
0.564119170984456,1.0
0.5644847699287103,1.0
0.5648508430609598,1.0
0.5652173913043478,1.0
0.5655844155844156,1.0
0.5659519168291098,1.0
0.5663198959687906,1.0
0.5666883539362394,1.0
0.5670572916666666,1.0
0.5674267100977198,1.0
0.5677966101694916,1.0
0.5681669928245271,1.0
0.5685378590078329,1.0
0.5689092096668844,1.0
0.569281045751634,1.0
0.5696533682145193,1.0
0.5700261780104712,1.0
0.5703994760969221,1.0
0.5707732634338138,1.0
0.5711475409836065,1.0
0.571522309711286,1.0
0.571897570584373,1.0
0.5722733245729303,1.0
0.5726495726495726,1.0
0.5730263157894737,1.0
0.5734035549703752,1.0
0.5737812911725956,1.0
0.5741595253790376,1.0
0.5745382585751979,1.0
0.574917491749175,1.0
0.5752972258916776,1.0
0.5756774619960344,1.0
0.576058201058201,1.0
0.5764394440767704,1.0
0.5768211920529801,1.0
0.5772034459907224,1.0
0.5775862068965517,1.0
0.5779694757796947,1.0
0.5783532536520585,1.0
0.5787375415282392,1.0
0.5791223404255319,1.0
0.5795076513639388,1.0
0.5798934753661784,1.0
0.5802798134576949,1.0
0.5806666666666667,1.0
0.5810540360240161,1.0
0.5814419225634179,1.0
0.5818303273213092,1.0
0.5822192513368984,1.0
0.5826086956521739,1.0
0.5829986613119144,1.0
0.5833891493636972,1.0
0.5837801608579088,1.0
0.5841716968477532,1.0
0.5845637583892618,1.0
0.5849563465413029,1.0
0.5853494623655914,1.0
0.5857431069266981,1.0
0.5861372812920592,1.0
0.5865319865319866,1.0
0.5869272237196765,1.0
0.5873229939312204,1.0
0.5877192982456141,1.0
0.588116137744767,1.0
0.5885135135135136,1.0
0.5889114266396214,1.0
0.5893098782138024,1.0
0.5897088693297224,1.0
0.5901084010840109,1.0
0.5905084745762712,1.0
0.5909090909090909,1.0
0.5913102511880516,1.0
0.5917119565217391,1.0
0.592114208021754,1.0
0.5925170068027211,1.0
0.5929203539823009,1.0
0.5933242506811989,1.0
0.5937286980231765,1.0
0.5941336971350614,1.0
0.5945392491467577,1.0
0.5949453551912568,1.0
0.595352016404648,1.0
0.5957592339261286,1.0
0.5961670088980151,1.0
0.5965753424657534,1.0
0.5969842357779301,1.0
0.5973936899862826,1.0
0.5978037062457103,1.0
0.5982142857142857,1.0
0.5986254295532646,1.0
0.5990371389270976,1.0
0.5994494150034412,1.0
0.599862258953168,1.0
0.600275671950379,1.0
0.6006896551724138,1.0
0.601104209799862,1.0
0.6015193370165746,1.0
0.6019350380096752,1.0
0.6023513139695712,1.0
0.6027681660899654,1.0
0.603185595567867,1.0
0.6036036036036037,1.0
0.6040221914008321,1.0
0.604441360166551,1.0
0.6048611111111111,1.0
0.6052814454482279,1.0
0.605702364394993,1.0
0.6061238691718859,1.0
0.6065459610027855,1.0
0.6069686411149826,1.0
0.6073919107391911,1.0
0.6078157711095603,1.0
0.6082402234636871,1.0
0.6086652690426275,1.0
0.6090909090909091,1.0
0.6095171448565431,1.0
0.6099439775910365,1.0
0.6096706377014717,0.9988518943742825
0.6100981767180925,0.9988518943742825
0.6105263157894737,0.9988518943742825
0.6109550561797753,0.9988518943742825
0.6113843991567112,0.9988518943742825
0.6118143459915611,0.9988518943742825
0.6122448979591837,0.9988518943742825
0.6126760563380281,0.9988518943742825
0.6131078224101479,0.9988518943742825
0.6128349788434415,0.9977037887485649
0.6132674664784756,0.9977037887485649
0.6137005649717514,0.9977037887485649
0.6141342756183745,0.9977037887485649
0.6145685997171145,0.9977037887485649
0.6150035385704176,0.9977037887485649
0.6154390934844193,0.9977037887485649
0.6158752657689582,0.9977037887485649
0.6156028368794326,0.9965556831228473
0.6160397444996452,0.9965556831228473
0.6164772727272727,0.9965556831228473
0.6169154228855721,0.9965556831228473
0.6173541963015647,0.9965556831228473
0.6177935943060499,0.9965556831228473
0.6182336182336182,0.9965556831228473
0.6179615110477548,0.9954075774971297
0.6184022824536377,0.9954075774971297
0.6188436830835118,0.9954075774971297
0.6192857142857143,0.9954075774971297
0.6197283774124375,0.9954075774971297
0.6201716738197425,0.9954075774971297
0.6206156048675734,0.9954075774971297
0.6210601719197708,0.9954075774971297
0.621505376344086,0.9954075774971297
0.6219512195121951,0.9954075774971297
0.6223977027997128,0.9954075774971297
0.6228448275862069,0.9954075774971297
0.6232925952552121,0.9954075774971297
0.6237410071942446,0.9954075774971297
0.6241900647948164,0.9954075774971297
0.6246397694524496,0.9954075774971297
0.6250901225666907,0.9954075774971297
0.6255411255411255,0.9954075774971297
0.6259927797833935,0.9954075774971297
0.6264450867052023,0.9954075774971297
0.6268980477223427,0.9954075774971297
0.6273516642547033,0.9954075774971297
0.6278059377262853,0.9954075774971297
0.6282608695652174,0.9954075774971297
0.6287164612037709,0.9954075774971297
0.6291727140783745,0.9954075774971297
0.6296296296296297,0.9954075774971297
0.6300872093023255,0.9954075774971297
0.6305454545454545,0.9954075774971297
0.631004366812227,0.9954075774971297
0.6314639475600874,0.9954075774971297
0.6319241982507289,0.9954075774971297
