threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,871,1080,0,49,0.44643772424397743,1.0,0.9755,0.2816058680248007
0.075,871,1004,0,125,0.46453333333333335,1.0,0.9375,0.33062721434898146
0.1,871,876,0,253,0.4985689753863766,1.0,0.8735,0.4131894818423384
0.125,871,761,0,368,0.5337009803921569,1.0,0.816,0.4873665190434013
0.15,871,677,0,452,0.5626614987080103,1.0,0.774,0.5415480070859168
0.175,871,616,0,513,0.5857431069266981,1.0,0.7435,0.5808940876882197
0.2,871,564,0,565,0.6069686411149826,1.0,0.7175,0.6144350088573959
0.22499999999999998,867,522,4,607,0.6241900647948164,0.9954075774971297,0.6945,0.6370333303757835
0.25,866,471,5,658,0.6477187733732236,0.9942594718714122,0.6685,0.6688061282044502
0.27499999999999997,864,428,7,701,0.6687306501547987,0.9919632606199771,0.646,0.6942956786890648
0.3,859,376,12,753,0.6955465587044535,0.9862227324913893,0.6175,0.7222210717296532
0.32499999999999996,854,318,17,811,0.7286689419795221,0.9804822043628014,0.586,0.7540165710589928
0.35,850,269,21,860,0.7596067917783735,0.9758897818599311,0.5595,0.7811300165809232
0.37499999999999994,836,238,35,891,0.7783985102420856,0.9598163030998852,0.537,0.7854020869794246
0.39999999999999997,828,222,43,907,0.7885714285714286,0.9506314580941446,0.525,0.7867375254103537
0.42499999999999993,814,201,57,928,0.8019704433497536,0.9345579793340988,0.5075,0.7845594186609367
0.44999999999999996,802,186,69,943,0.8117408906882592,0.9207807118254879,0.494,0.7807574168742035
0.475,782,170,89,959,0.8214285714285714,0.8978185993111366,0.476,0.7686155877965218
0.49999999999999994,770,153,101,976,0.8342361863488624,0.8840413318025259,0.4615,0.7661036214393727
0.525,752,141,119,988,0.8421052631578947,0.8633754305396096,0.4465,0.7536279327539586
0.5499999999999999,732,123,139,1006,0.856140350877193,0.8404133180252583,0.4275,0.7427761391058606
0.575,709,104,162,1025,0.8720787207872078,0.8140068886337543,0.4065,0.7292000462954017
0.6,682,93,189,1036,0.88,0.78300803673938,0.3875,0.7059713892637378
0.625,651,84,220,1045,0.8857142857142857,0.7474167623421355,0.3675,0.6769602742996199
0.65,610,72,261,1057,0.8944281524926686,0.7003444316877153,0.341,0.638653156222702
0.675,553,61,318,1068,0.9006514657980456,0.634902411021814,0.307,0.5817313304195111
0.7,487,50,384,1079,0.9068901303538175,0.5591274397244547,0.2685,0.5147015539848621
0.725,421,42,450,1087,0.9092872570194385,0.4833524684270953,0.2315,0.44573672440583756
0.75,331,35,540,1094,0.9043715846994536,0.38002296211251435,0.183,0.3491723420947996
0.775,243,22,628,1107,0.9169811320754717,0.27898966704936856,0.1325,0.25872427732394787
0.7999999999999999,180,14,691,1115,0.9278350515463918,0.2066590126291619,0.097,0.19312876462207598
0.825,107,9,764,1120,0.9224137931034483,0.12284730195177956,0.058,0.1143671425186529
0.85,52,1,819,1128,0.9811320754716981,0.05970149253731343,0.0265,0.05775647482252158
0.875,11,0,860,1129,1.0,0.012629161882893225,0.0055,0.012354161882893226
0.9,3,0,868,1129,1.0,0.003444316877152698,0.0015,0.003369316877152698
0.9249999999999999,1,0,870,1129,1.0,0.001148105625717566,0.0005,0.001123105625717566
0.95,0,0,871,1129,0.0,0.0,0.0,0.0
