cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
prospective90,saved_sources_union,rarebench,5,train,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,5.0
prospective90,saved_sources_union,rarebench,10,train,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,6.0
prospective90,saved_sources_union,rarebench,15,train,1,1,1.0,1,1.0,0,0,17.0,17.0,17.0,9.0,6.0
transfer_old90,current_pool,ALL,-1,ALL,90,81,0.9,81,0.9,0,0,6.666666666666667,8.0,8.0,0.0,6.0777777777777775
transfer_old90,current_pool,ddxplus,5,ALL,10,7,0.7,7,0.7,0,0,8.0,8.0,8.0,0.0,5.0
transfer_old90,current_pool,ddxplus,10,ALL,10,8,0.8,8,0.8,0,0,8.0,8.0,8.0,0.0,9.0
transfer_old90,current_pool,ddxplus,15,ALL,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,11.4
transfer_old90,current_pool,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.2
transfer_old90,current_pool,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,4.6
transfer_old90,current_pool,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
transfer_old90,current_pool,rarebench,5,ALL,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,3.5
transfer_old90,current_pool,rarebench,10,ALL,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,5.4
transfer_old90,current_pool,rarebench,15,ALL,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,6.5
transfer_old90,current_pool,ALL,-1,transfer,90,81,0.9,81,0.9,0,0,6.666666666666667,8.0,8.0,0.0,6.0777777777777775
transfer_old90,current_pool,ddxplus,5,transfer,10,7,0.7,7,0.7,0,0,8.0,8.0,8.0,0.0,5.0
transfer_old90,current_pool,ddxplus,10,transfer,10,8,0.8,8,0.8,0,0,8.0,8.0,8.0,0.0,9.0
transfer_old90,current_pool,ddxplus,15,transfer,10,9,0.9,9,0.9,0,0,8.0,8.0,8.0,0.0,11.4
transfer_old90,current_pool,icraft_md,5,transfer,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.2
transfer_old90,current_pool,icraft_md,10,transfer,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,4.6
transfer_old90,current_pool,icraft_md,15,transfer,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
