feature,coefficient,abs_coefficient
num__rarebench_graph_top_score,-0.17218280443403827,0.17218280443403827
num__candidate_resolver_rank,0.1713193453693125,0.1713193453693125
num__branch_top1_count,0.17076591885644463,0.17076591885644463
num__augmented_source_weighted_score,0.1651630059373145,0.1651630059373145
num__mlp_rank,-0.1564636057229615,0.1564636057229615
num__ddxplus_bayes_visible_roots,0.15639141512338814,0.15639141512338814
num__rarebench_hpo_max_idf_fraction_pool_minmax,-0.15068497460922728,0.15068497460922728
num__mlp_top5,0.14923133267002284,0.14923133267002284
num__independent_signal_count,0.14825456807589135,0.14825456807589135
num__ddxplus_bayes_posterior_pool_minmax,-0.13487074407832558,0.13487074407832558
num__ddxplus_bayes_rank,-0.13289696982173807,0.13289696982173807
num__support_count_norm,-0.13068754617540174,0.13068754617540174
num__ddxplus_graph_visible_roots,0.1259983364126091,0.1259983364126091
num__icraft_tfidf_mean_similarity,0.12493329347267423,0.12493329347267423
num__branch_confidence_sum_norm,-0.12347886477392456,0.12347886477392456
num__branch_hit_count,-0.12148899393699725,0.12148899393699725
num__branch_confidence_sum,-0.11877154951120758,0.11877154951120758
num__branch_best_rr_minus_max,0.11795638082969968,0.11795638082969968
num__rarebench_hpo_max_overlap_minus_max,-0.11461237559371397,0.11461237559371397
num__budget,-0.11263252504239757,0.11263252504239757
cat__dataset_name_ddxplus,-0.11190907255468119,0.11190907255468119
num__branch2_conf_value,0.10759258284247619,0.10759258284247619
num__augmented_source_weighted_score_minus_current,0.10539903818245117,0.10539903818245117
num__ddxplus_graph_score_minus_max,0.1035292559674704,0.1035292559674704
num__mlp_top1,0.10270752170827695,0.10270752170827695
num__branch1_conf_value,0.10090864141942577,0.10090864141942577
num__icraft_tfidf_max_similarity,0.10089622839006822,0.10089622839006822
num__branch_triggered,-0.09649006889518559,0.09649006889518559
num__branch_count,-0.09310277587963085,0.09310277587963085
num__ddxplus_graph_posterior_norm,-0.08634464737859136,0.08634464737859136
num__branch_best_rr_rank_within_pool,-0.08404215844035012,0.08404215844035012
num__ddxplus_mlp_margin,0.08128078012170237,0.08128078012170237
cat__dataset_name_rarebench,-0.07750384917627445,0.07750384917627445
num__branch2_value,-0.07140540130684359,0.07140540130684359
num__resolver_margin,0.07043494954821354,0.07043494954821354
num__ddxplus_bayes_rr,0.06299239265179511,0.06299239265179511
num__branch1_value,0.05179409941455835,0.05179409941455835
num__rarebench_hpo_ref_count,0.048175929548930935,0.048175929548930935
num__ddxplus_mlp_confidence,-0.03928566473680062,0.03928566473680062
num__ddxplus_graph_margin,-0.034396885424624914,0.034396885424624914
num__icraft_tfidf_mean_similarity_pool_minmax,0.023370021707017467,0.023370021707017467
num__icraft_tfidf_max_similarity_pool_minmax,0.023370021707017467,0.023370021707017467
num__ddxplus_graph_contradiction,0.021071083656580145,0.021071083656580145
num__casebase_prior_value_rank_within_pool,0.01231324780021859,0.01231324780021859
num__icraft_ref_count,-0.011436222261090688,0.011436222261090688
num__branch_confidence_sum_rank_within_pool,-0.008848458700864766,0.008848458700864766
num__branch_best_rr,0.008295656527269425,0.008295656527269425
num__branch_best_rr_norm,0.008295656527269425,0.008295656527269425
num__rarebench_hpo_max_jaccard,-0.0054238614027781245,0.0054238614027781245
num__branch_confidence_sum_minus_max,0.003457904526600794,0.003457904526600794
num__candidate_in_allowed_list,-0.0006818923911420074,0.0006818923911420074
num__mlp_rr,-0.0003123376338189714,0.0003123376338189714
num__ddxplus_bayes_fallback_likelihood_cells,0.0,0.0
