precision,recall
0.439,1.0
0.43921960980490243,1.0
0.4394394394394394,1.0
0.4396594892338508,1.0
0.43987975951903807,1.0
0.44010025062656644,1.0
0.440320962888666,1.0
0.44054189663823384,1.0
0.4407630522088353,1.0
0.44098442993470616,1.0
0.44120603015075377,1.0
0.44142785319255906,1.0
0.4416498993963783,1.0
0.44187216909914445,1.0
0.4420946626384693,1.0
0.44231738035264484,1.0
0.4425403225806452,1.0
0.4427634896621281,1.0
0.4429868819374369,1.0
0.44321049974760224,1.0
0.44343434343434346,1.0
0.4436584133400707,1.0
0.44388270980788674,1.0
0.4441072331815883,1.0
0.444331983805668,1.0
0.44455696202531647,1.0
0.4447821681864235,1.0
0.4450076026355803,1.0
0.44523326572008115,1.0
0.4454591577879249,1.0
0.44568527918781725,1.0
0.4459116302691722,1.0
0.44613821138211385,1.0
0.44636502287747837,1.0
0.44659206510681587,1.0
0.44681933842239185,1.0
0.4470468431771894,1.0
0.44727457972491086,1.0
0.4475025484199796,1.0
0.44773074961754206,1.0
0.4479591836734694,1.0
0.44818785094435937,1.0
0.4484167517875383,1.0
0.44864588656106286,1.0
0.4488752556237219,1.0
0.44910485933503835,1.0
0.44933469805527126,1.0
0.4495647721454173,1.0
0.44979508196721313,1.0
0.4500256278831369,1.0
0.4502564102564103,1.0
0.4504874294510005,1.0
0.45071868583162217,1.0
0.4509501797637391,1.0
0.4511819116135663,1.0
0.45141388174807195,1.0
0.45164609053497945,1.0
0.4518785383427689,1.0
0.45211122554067973,1.0
0.452344152498712,1.0
0.45257731958762887,1.0
0.4528107271789582,1.0
0.45304437564499483,1.0
0.4532782653588023,1.0
0.4535123966942149,1.0
0.4537467700258398,1.0
0.45398138572905894,1.0
0.45421624418003104,1.0
0.45445134575569357,1.0
0.4546866908337649,1.0
0.45492227979274613,1.0
0.45515811301192327,1.0
0.4553941908713693,1.0
0.455630513751946,1.0
0.45586708203530635,1.0
0.4561038961038961,1.0
0.45634095634095634,1.0
0.45657826313052524,1.0
