dataset_name,budget,num_cases,gtpa_at_1,gtpa_at_3,gtpa_at_5,mean_true_rank_capped_11,progress_rate,mean_questions,median_questions,stop_before_budget_rate,graph_resolver_change_rate,graph_discriminator_use_rate,branch_trigger_rate,mean_branch_count,mean_branch_questions,resolver_change_rate,mean_resolver_margin,mean_input_tokens,mean_output_tokens
ddxplus,5,1,0.0,0.0,0.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938360727722671,0.0,0.0
ddxplus,10,1,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8827791600545947,0.0,0.0
ddxplus,15,1,1.0,1.0,1.0,1.0,1.0,14.0,14.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.1572208399454053,0.0,0.0
icraft_md,5,1,0.0,1.0,1.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.2908333333333335,0.0,0.0
icraft_md,10,1,0.0,1.0,1.0,3.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.2908333333333335,0.0,0.0
icraft_md,15,1,0.0,1.0,1.0,3.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.2908333333333335,0.0,0.0
rarebench,5,1,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0330822573996449,0.0,0.0
rarebench,10,1,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0330822573996449,0.0,0.0
rarebench,15,1,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0330822573996449,0.0,0.0
