run,feature,correct_mean,wrong_mean,wrong_minus_correct
notebook13,top_support,6.563743181818182,2.2906315,-4.2731116818181825
notebook13,top_contradiction,0.31537045454545454,3.54669,3.2313195454545456
notebook13,top_net_support,6.248372772727271,-1.2560585,-7.504431272727271
notebook13,top_contradiction_minus_support,-6.248372727272726,1.2560585,7.504431227272726
notebook13,num_unresolved_pairs,3.0,3.0,0.0
notebook13,max_unresolved_score,0.5273150732414161,0.7122128534102212,0.1848977801688051
notebook13,num_warning_types,1.9090909090909092,2.5,0.5909090909090908
notebook13,true_net_minus_top_net,0.0,1.9721385,1.9721385
notebook13,mlp_confidence,0.9430163665251299,0.9175342619419098,-0.02548210458322009
notebook13,mlp_margin,0.9040007675592444,0.8917051157914102,-0.012295651767834204
notebook13,mlp_entropy,0.057647285679726594,0.10852432140245331,0.05087703572272672
notebook17,top_support,7.215773349999999,4.94434325,-2.271430099999999
notebook17,top_contradiction,0.9027734500000001,7.9638055,7.061032050000001
notebook17,top_net_support,6.31299985,-3.01946225,-9.3324621
notebook17,top_contradiction_minus_support,-6.312999899999999,3.01946225,9.33246215
notebook17,num_unresolved_pairs,3.0,3.0,0.0
notebook17,max_unresolved_score,0.6489243821377506,0.38797593241852435,-0.26094844971922626
notebook17,num_warning_types,1.8,2.0,0.19999999999999996
notebook17,true_net_minus_top_net,0.0,2.1844625,2.1844625
notebook17,mlp_confidence,0.8612101793289184,0.6924992650747299,-0.1687109142541885
notebook17,mlp_margin,0.7740232100186404,0.5796775706112385,-0.1943456394074019
notebook17,mlp_entropy,0.12096791247396776,0.29160196472735445,0.17063405225338668
notebook18,top_support,8.066757666666668,1.5205149999999998,-6.546242666666668
notebook18,top_contradiction,0.4366655714285714,6.666673333333333,6.230007761904761
notebook18,top_net_support,7.630092095238095,-5.146158333333333,-12.776250428571428
notebook18,top_contradiction_minus_support,-7.630092095238095,5.146158333333333,12.776250428571428
notebook18,num_unresolved_pairs,3.0,3.0,0.0
notebook18,max_unresolved_score,0.5914723185019266,0.8725507480389049,0.28107842953697826
notebook18,num_warning_types,2.0,3.0,1.0
notebook18,true_net_minus_top_net,0.0,6.8387606666666665,6.8387606666666665
notebook18,mlp_confidence,0.9332695007324219,0.4445379674434662,-0.4887315332889557
notebook18,mlp_margin,0.8877857955334808,0.2705017427603404,-0.6172840527731405
notebook18,mlp_entropy,0.06444145593782033,0.4651537043018557,0.4007122483640354
notebook20,top_support,7.340993300000001,3.10842975,-4.232563550000001
notebook20,top_contradiction,0.37715765,4.01487075,3.6377131
notebook20,top_net_support,6.9638357,-0.9064409999999998,-7.8702767
notebook20,top_contradiction_minus_support,-6.96383565,0.9064409999999998,7.87027665
notebook20,num_unresolved_pairs,3.0,2.25,-0.75
notebook20,max_unresolved_score,0.5930076840840449,0.3180044978855543,-0.2750031861984906
notebook20,num_warning_types,1.85,1.75,-0.10000000000000009
notebook20,true_net_minus_top_net,0.0,2.641083,2.641083
notebook20,mlp_confidence,0.9569004833698272,0.825934112071991,-0.13096637129783628
notebook20,mlp_margin,0.9355422307360641,0.7788464734330773,-0.1566957573029868
notebook20,mlp_entropy,0.0547001346716763,0.19249137256277313,0.13779123789109682
