variant_name,source_run,family,is_oracle,num_cases,accuracy,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,changed_predictions,correct_count,would_continue_unobserved_count,unsafe_stop_cases_flagged,evaluable_accuracy
stop_guard_notebook13_unres1_tc1.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres1_tc1.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres1_tc2.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres1_tc2.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres1_tc3.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres1_tc3.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc1.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc1.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc2.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc2.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc3.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres2_tc3.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc1.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc1.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc2.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc2.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc3.0_cms0.5,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook13_unres3_tc3.0_cms1.0,notebook13,stop_guard,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,20,20,0.75
stop_guard_notebook20_unres1_tc1.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres1_tc1.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres1_tc2.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres1_tc2.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres1_tc3.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres1_tc3.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,20,20,0.5
stop_guard_notebook20_unres2_tc1.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres2_tc1.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres2_tc2.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres2_tc2.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres2_tc3.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres2_tc3.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,20,20,0.5
stop_guard_notebook20_unres3_tc1.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres3_tc1.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres3_tc2.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres3_tc2.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres3_tc3.0_cms0.5,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,21,21,0.6666666666666666
stop_guard_notebook20_unres3_tc3.0_cms1.0,notebook20,stop_guard,False,24,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.7435897435897435,6.083333333333333,4.0,0,20,20,20,0.5
