policy_name,final_head,min_requests,confidence_min,margin_min,entropy_max,accuracy,correct_count,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,threshold_fired_rate,observed_final_fallback_count,mean_mlp_confidence_at_stop,mean_mlp_margin_at_stop,mean_mlp_entropy_at_stop
min0_conf0.55_margin0.10_ent0.05,llm,0,0.55,0.1,0.05,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.05,mlp,0,0.55,0.1,0.05,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7904761904761904,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.05,hybrid,0,0.55,0.1,0.05,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.08,llm,0,0.55,0.1,0.08,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.08,mlp,0,0.55,0.1,0.08,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7904761904761904,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.08,hybrid,0,0.55,0.1,0.08,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.10,llm,0,0.55,0.1,0.1,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.7346938775510204,13,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.10,mlp,0,0.55,0.1,0.1,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7904761904761904,6.551020408163265,5.0,0.7346938775510204,13,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.10,hybrid,0,0.55,0.1,0.1,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.7346938775510204,13,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.10_ent0.12,llm,0,0.55,0.1,0.12,0.8571428571428571,42,0.9183673469387755,0.9183673469387755,0.8129251700680271,6.224489795918367,5.0,0.8163265306122449,9,0.9189675949057754,0.8740061633714652,0.08433916386612919
min0_conf0.55_margin0.10_ent0.12,mlp,0,0.55,0.1,0.12,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7857142857142857,6.224489795918367,5.0,0.8163265306122449,9,0.9189675949057754,0.8740061633714652,0.08433916386612919
min0_conf0.55_margin0.10_ent0.12,hybrid,0,0.55,0.1,0.12,0.8571428571428571,42,0.9183673469387755,0.9183673469387755,0.8129251700680271,6.224489795918367,5.0,0.8163265306122449,9,0.9189675949057754,0.8740061633714652,0.08433916386612919
min0_conf0.55_margin0.10_ent0.15,llm,0,0.55,0.1,0.15,0.8367346938775511,41,0.8979591836734694,0.9183673469387755,0.7891156462585035,5.918367346938775,5.0,0.8367346938775511,8,0.8993128538131714,0.8390904783805591,0.10042609565712723
min0_conf0.55_margin0.10_ent0.15,mlp,0,0.55,0.1,0.15,0.8163265306122449,40,0.9183673469387755,0.9591836734693877,0.7687074829931972,5.918367346938775,5.0,0.8367346938775511,8,0.8993128538131714,0.8390904783805591,0.10042609565712723
min0_conf0.55_margin0.10_ent0.15,hybrid,0,0.55,0.1,0.15,0.8367346938775511,41,0.8979591836734694,0.9183673469387755,0.7891156462585035,5.918367346938775,5.0,0.8367346938775511,8,0.8993128538131714,0.8390904783805591,0.10042609565712723
min0_conf0.55_margin0.10_ent0.20,llm,0,0.55,0.1,0.2,0.7959183673469388,39,0.8979591836734694,0.8979591836734694,0.7428571428571429,5.510204081632653,4.0,0.8979591836734694,5,0.8615816332856003,0.7671208523546256,0.12158911820340011
min0_conf0.55_margin0.10_ent0.20,mlp,0,0.55,0.1,0.2,0.7755102040816326,38,0.9387755102040817,0.9591836734693877,0.719047619047619,5.510204081632653,4.0,0.8979591836734694,5,0.8615816332856003,0.7671208523546256,0.12158911820340011
min0_conf0.55_margin0.10_ent0.20,hybrid,0,0.55,0.1,0.2,0.7959183673469388,39,0.8979591836734694,0.8979591836734694,0.7428571428571429,5.510204081632653,4.0,0.8979591836734694,5,0.8615816332856003,0.7671208523546256,0.12158911820340011
min0_conf0.55_margin0.10_ent0.30,llm,0,0.55,0.1,0.3,0.7142857142857143,35,0.8571428571428571,0.8571428571428571,0.6530612244897959,4.73469387755102,3.0,0.9387755102040817,3,0.7776387589318412,0.6280698983247968,0.17221425484607558
min0_conf0.55_margin0.10_ent0.30,mlp,0,0.55,0.1,0.3,0.6938775510204082,34,0.9183673469387755,0.9387755102040817,0.6238095238095237,4.73469387755102,3.0,0.9387755102040817,3,0.7776387589318412,0.6280698983247968,0.17221425484607558
min0_conf0.55_margin0.10_ent0.30,hybrid,0,0.55,0.1,0.3,0.7142857142857143,35,0.8571428571428571,0.8571428571428571,0.6530612244897959,4.73469387755102,3.0,0.9387755102040817,3,0.7776387589318412,0.6280698983247968,0.17221425484607558
min0_conf0.55_margin0.15_ent0.05,llm,0,0.55,0.15,0.05,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.15_ent0.05,mlp,0,0.55,0.15,0.05,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7904761904761904,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.15_ent0.05,hybrid,0,0.55,0.15,0.05,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.5102040816326531,24,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.15_ent0.08,llm,0,0.55,0.15,0.08,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.15_ent0.08,mlp,0,0.55,0.15,0.08,0.8367346938775511,41,0.9183673469387755,0.9387755102040817,0.7904761904761904,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
min0_conf0.55_margin0.15_ent0.08,hybrid,0,0.55,0.15,0.08,0.8775510204081632,43,0.9183673469387755,0.9387755102040817,0.8448979591836734,6.551020408163265,5.0,0.6122448979591837,19,0.9256952599603303,0.8855709697864044,0.07765047166951176
