policy_name,scope,num_decisions,num_correct,accuracy,base_accuracy,wins_vs_base,regressions_vs_base,branch_rate,mean_branches_spawned,mean_selected_requests,mean_total_branch_requests
trigger=broad_suspicion|budget=1|judge=base_reference,all_base_runs,245,216,0.8816326530612245,0.8816326530612245,0,0,0.2816326530612245,0.2816326530612245,6.726530612244898,9.33469387755102
trigger=broad_suspicion|budget=1|judge=base_reference,n13_frozen,49,43,0.8775510204081632,0.8775510204081632,0,0,0.2857142857142857,0.2857142857142857,6.591836734693878,8.979591836734693
trigger=broad_suspicion|budget=1|judge=base_reference,n24_base,49,45,0.9183673469387755,0.9183673469387755,0,0,0.2653061224489796,0.2653061224489796,6.204081632653061,8.571428571428571
trigger=broad_suspicion|budget=1|judge=base_reference,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.2857142857142857,0.2857142857142857,7.0,9.979591836734693
trigger=broad_suspicion|budget=1|judge=base_reference,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.2857142857142857,0.2857142857142857,7.020408163265306,9.755102040816327
trigger=broad_suspicion|budget=1|judge=base_reference,n25_r03,49,42,0.8571428571428571,0.8571428571428571,0,0,0.2857142857142857,0.2857142857142857,6.816326530612245,9.387755102040817
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,all_base_runs,245,225,0.9183673469387755,0.8816326530612245,9,0,0.2816326530612245,0.2816326530612245,6.440816326530612,9.33469387755102
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,n13_frozen,49,46,0.9387755102040817,0.8775510204081632,3,0,0.2857142857142857,0.2857142857142857,6.530612244897959,8.979591836734693
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,n24_base,49,46,0.9387755102040817,0.9183673469387755,1,0,0.2653061224489796,0.2653061224489796,6.428571428571429,8.571428571428571
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,n25_r01,49,45,0.9183673469387755,0.8979591836734694,1,0,0.2857142857142857,0.2857142857142857,6.551020408163265,9.979591836734693
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,n25_r02,49,44,0.8979591836734694,0.8571428571428571,2,0,0.2857142857142857,0.2857142857142857,6.244897959183674,9.755102040816327
trigger=broad_suspicion|budget=1|judge=cautious_fused_judge,n25_r03,49,44,0.8979591836734694,0.8571428571428571,2,0,0.2857142857142857,0.2857142857142857,6.448979591836735,9.387755102040817
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,all_base_runs,245,225,0.9183673469387755,0.8816326530612245,9,0,0.2816326530612245,0.2816326530612245,6.440816326530612,9.33469387755102
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,n13_frozen,49,46,0.9387755102040817,0.8775510204081632,3,0,0.2857142857142857,0.2857142857142857,6.530612244897959,8.979591836734693
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,n24_base,49,46,0.9387755102040817,0.9183673469387755,1,0,0.2653061224489796,0.2653061224489796,6.428571428571429,8.571428571428571
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,n25_r01,49,45,0.9183673469387755,0.8979591836734694,1,0,0.2857142857142857,0.2857142857142857,6.551020408163265,9.979591836734693
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,n25_r02,49,44,0.8979591836734694,0.8571428571428571,2,0,0.2857142857142857,0.2857142857142857,6.244897959183674,9.755102040816327
trigger=broad_suspicion|budget=1|judge=fused_consensus_judge,n25_r03,49,44,0.8979591836734694,0.8571428571428571,2,0,0.2857142857142857,0.2857142857142857,6.448979591836735,9.387755102040817
trigger=broad_suspicion|budget=1|judge=highest_bayes_posterior,all_base_runs,245,225,0.9183673469387755,0.8816326530612245,9,0,0.2816326530612245,0.2816326530612245,6.6571428571428575,9.33469387755102
trigger=broad_suspicion|budget=1|judge=highest_bayes_posterior,n13_frozen,49,46,0.9387755102040817,0.8775510204081632,3,0,0.2857142857142857,0.2857142857142857,6.530612244897959,8.979591836734693
trigger=broad_suspicion|budget=1|judge=highest_bayes_posterior,n24_base,49,46,0.9387755102040817,0.9183673469387755,1,0,0.2653061224489796,0.2653061224489796,6.428571428571429,8.571428571428571
