base_run,trigger_name,branch_budget,oracle_accuracy,base_accuracy,oracle_wins_vs_base,oracle_missed_even_with_pool,branch_rate,mean_branches_spawned
n13_frozen,never,0,0.8775510204081632,0.8775510204081632,0,6,0.0,0.0
n13_frozen,never,1,0.8775510204081632,0.8775510204081632,0,6,0.0,0.0
n13_frozen,disagreement_or_cap,1,0.8775510204081632,0.8775510204081632,0,6,0.061224489795918366,0.061224489795918366
n13_frozen,premature_stop_guard,1,0.9387755102040817,0.8775510204081632,3,3,0.24489795918367346,0.24489795918367346
n13_frozen,graph_bayes_conflict,1,0.8979591836734694,0.8775510204081632,1,5,0.04081632653061224,0.04081632653061224
n13_frozen,strict_final_conflict,1,0.8979591836734694,0.8775510204081632,1,5,0.04081632653061224,0.04081632653061224
n13_frozen,hybrid_suspicion_v1,1,0.9387755102040817,0.8775510204081632,3,3,0.1836734693877551,0.1836734693877551
n13_frozen,broad_suspicion,1,0.9387755102040817,0.8775510204081632,3,3,0.2857142857142857,0.2857142857142857
n13_frozen,never,2,0.8775510204081632,0.8775510204081632,0,6,0.0,0.0
n13_frozen,disagreement_or_cap,2,0.8979591836734694,0.8775510204081632,1,5,0.061224489795918366,0.12244897959183673
n13_frozen,premature_stop_guard,2,0.9387755102040817,0.8775510204081632,3,3,0.24489795918367346,0.4897959183673469
n13_frozen,graph_bayes_conflict,2,0.9183673469387755,0.8775510204081632,2,4,0.04081632653061224,0.08163265306122448
n13_frozen,strict_final_conflict,2,0.9183673469387755,0.8775510204081632,2,4,0.04081632653061224,0.08163265306122448
n13_frozen,hybrid_suspicion_v1,2,0.9591836734693877,0.8775510204081632,4,2,0.1836734693877551,0.3673469387755102
n13_frozen,broad_suspicion,2,0.9591836734693877,0.8775510204081632,4,2,0.2857142857142857,0.5714285714285714
n13_frozen,never,4,0.8775510204081632,0.8775510204081632,0,6,0.0,0.0
n13_frozen,disagreement_or_cap,4,0.8979591836734694,0.8775510204081632,1,5,0.061224489795918366,0.24489795918367346
n13_frozen,premature_stop_guard,4,0.9387755102040817,0.8775510204081632,3,3,0.24489795918367346,0.9795918367346939
n13_frozen,graph_bayes_conflict,4,0.9183673469387755,0.8775510204081632,2,4,0.04081632653061224,0.16326530612244897
n13_frozen,strict_final_conflict,4,0.9183673469387755,0.8775510204081632,2,4,0.04081632653061224,0.16326530612244897
n13_frozen,hybrid_suspicion_v1,4,0.9591836734693877,0.8775510204081632,4,2,0.1836734693877551,0.7346938775510204
n13_frozen,broad_suspicion,4,0.9591836734693877,0.8775510204081632,4,2,0.2857142857142857,1.1428571428571428
n24_base,never,0,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,never,1,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,disagreement_or_cap,1,0.9183673469387755,0.9183673469387755,0,4,0.04081632653061224,0.04081632653061224
n24_base,premature_stop_guard,1,0.9183673469387755,0.9183673469387755,0,4,0.22448979591836735,0.22448979591836735
n24_base,graph_bayes_conflict,1,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,strict_final_conflict,1,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,hybrid_suspicion_v1,1,0.9183673469387755,0.9183673469387755,0,4,0.14285714285714285,0.14285714285714285
n24_base,broad_suspicion,1,0.9387755102040817,0.9183673469387755,1,3,0.2653061224489796,0.2653061224489796
n24_base,never,2,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,disagreement_or_cap,2,0.9183673469387755,0.9183673469387755,0,4,0.04081632653061224,0.08163265306122448
n24_base,premature_stop_guard,2,0.9183673469387755,0.9183673469387755,0,4,0.22448979591836735,0.4489795918367347
n24_base,graph_bayes_conflict,2,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,strict_final_conflict,2,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,hybrid_suspicion_v1,2,0.9183673469387755,0.9183673469387755,0,4,0.14285714285714285,0.2857142857142857
n24_base,broad_suspicion,2,0.9591836734693877,0.9183673469387755,2,2,0.2653061224489796,0.5306122448979592
n24_base,never,4,0.9183673469387755,0.9183673469387755,0,4,0.0,0.0
n24_base,disagreement_or_cap,4,0.9183673469387755,0.9183673469387755,0,4,0.04081632653061224,0.16326530612244897
