threshold,tp,fp,fn,tn,precision,recall,branch_rate,validation_objective
0.05,871,451,2,676,0.6588502269288956,0.997709049255441,0.661,0.6845348256529565
0.075,870,359,3,768,0.7078925956061839,0.9965635738831615,0.6145,0.7428572074235342
0.1,870,316,3,811,0.7335581787521079,0.9965635738831615,0.593,0.7706402819576957
0.125,865,289,8,838,0.7495667244367418,0.9908361970217641,0.577,0.7824830914317019
0.15,863,272,10,855,0.760352422907489,0.9885452462772051,0.5675,0.791226146898323
0.175,859,259,14,868,0.7683363148479427,0.983963344788087,0.559,0.7951437795706957
0.2,855,249,18,878,0.7744565217391305,0.979381443298969,0.552,0.7971230582058014
0.22499999999999998,852,237,21,890,0.7823691460055097,0.9759450171821306,0.5445,0.8015150482380311
0.25,848,226,25,901,0.7895716945996276,0.9713631156930126,0.537,0.8041404448855591
0.27499999999999997,843,215,30,912,0.7967863894139886,0.9656357388316151,0.529,0.8056453661608077
0.3,840,209,33,918,0.8007626310772163,0.9621993127147767,0.5245,0.8061606481185033
0.32499999999999996,832,198,41,929,0.8077669902912621,0.9530355097365406,0.515,0.8043041432769132
0.35,826,187,47,940,0.8153998025666338,0.9461626575028637,0.5065,0.8046885891798823
0.37499999999999994,821,176,52,951,0.8234704112337011,0.9404352806414662,0.4985,0.8061935104551309
0.39999999999999997,817,171,56,956,0.8269230769230769,0.9358533791523482,0.494,0.8049421990281247
0.42499999999999993,813,168,60,959,0.8287461773700305,0.9312714776632303,0.4905,0.8023986515762738
0.44999999999999996,805,163,68,964,0.8316115702479339,0.9221076746849943,0.484,0.7966654386601496
0.475,800,159,73,968,0.8342022940563086,0.9163802978235968,0.4795,0.7936475338484416
0.49999999999999994,797,156,76,971,0.8363064008394544,0.9129438717067583,0.4765,0.7922244617688701
0.525,791,152,82,975,0.83881230116649,0.9060710194730813,0.4715,0.7880860815848826
0.5499999999999999,783,142,90,985,0.8464864864864865,0.8969072164948454,0.4625,0.7855834587308703
0.575,776,138,97,989,0.849015317286652,0.8888888888888888,0.457,0.7803246031746031
0.6,768,132,105,995,0.8533333333333334,0.8797250859106529,0.45,0.7752375082709014
0.625,754,128,119,999,0.854875283446712,0.86368843069874,0.441,0.7621353251086779
0.65,743,119,130,1008,0.8619489559164734,0.8510882016036655,0.431,0.7556251581254047
0.675,727,109,146,1018,0.8696172248803827,0.8327605956471936,0.418,0.7441587322931563
0.7,711,99,162,1028,0.8777777777777778,0.8144329896907216,0.405,0.732692306460908
0.725,691,90,182,1037,0.8847631241997439,0.7915234822451317,0.3905,0.7160978611271193
0.75,675,82,198,1045,0.8916776750330251,0.7731958762886598,0.3785,0.7033391992700263
0.775,643,71,230,1056,0.9005602240896359,0.736540664375716,0.357,0.6745912854937284
0.7999999999999999,624,64,249,1063,0.9069767441860465,0.7147766323024055,0.344,0.6578250795073745
0.825,588,55,285,1072,0.9144634525660964,0.6735395189003437,0.3215,0.6233030282171139
0.85,535,36,338,1091,0.9369527145359019,0.6128293241695304,0.2855,0.5761940757223254
0.875,472,30,401,1097,0.9402390438247012,0.5406643757159221,0.251,0.5094808353432513
0.9,408,20,465,1107,0.9532710280373832,0.46735395189003437,0.214,0.44423159164158715
0.9249999999999999,318,12,555,1115,0.9636363636363636,0.3642611683848797,0.165,0.3485577522358114
0.95,168,3,705,1124,0.9824561403508771,0.19243986254295534,0.0855,0.18630150850568825
