feature,importance_mean,importance_std
anchor_bayes_posterior,0.01730705219632983,0.005201928415856927
anchor_graph_score,0.010740283072378565,0.003747832508917026
anchor_bayes_rank,0.009476185230880896,0.0025167163257963088
bayes_top_posterior,0.009105134814855975,0.0028907801560457136
ledger_disagrees_anchor,0.005326726400589121,0.0013118608088411032
visible_root_count,0.00504824285890737,0.0009160480135091964
graph_margin,0.0042714690287603,2.9006493866501337e-05
graph_bayes_agree,0.0033152595524011397,0.0006743992458567161
bayes_margin,0.0032853933390804,0.002819171516970087
anchor_mlp_posterior,0.0023842786561180662,0.0015553365591001733
graph_top_score,0.002054954672122744,4.517582456148306e-05
mlp_entropy,0.00044631094700209317,0.001016359801339628
anchor_graph_rank,9.786007204654057e-05,0.0010967224066238956
all_heads_anchor,-4.837047119665705e-05,0.0018098474615825255
mlp_margin,-0.00012731131131721307,0.002274274678405186
anchor_mlp_rank,-0.00021336152914586126,0.0007167838940254079
mlp_confidence,-0.0005123052756668689,0.002897870259726709
pair_missing_utility,-0.0006786379270896647,0.0009491829298174936
request_count,-0.0006836198198262311,0.0010446047288448224
pair_coverage,-0.003008558724625243,0.0003834913257235728
