feature,importance_mean,importance_std
anchor_bayes_posterior,0.013513774696554515,0.0028152725686057534
anchor_bayes_rank,0.012778859979904966,0.0042984481988111445
graph_top_score,0.008505088046619147,0.0012686033908294037
bayes_top_posterior,0.0076312316440174666,0.0008230675510325636
ledger_disagrees_anchor,0.0072558369725425065,0.0011656136391632321
bayes_margin,0.006039621299367082,0.002101521523062866
anchor_graph_score,0.003993692670074267,0.0019386127282129961
graph_margin,0.003551957018263052,0.0010096588111635496
request_count,0.00202075465610263,0.0013022038853830464
anchor_mlp_rank,0.0018470732273457302,0.001740323673044275
pair_missing_utility,0.0018162691332463399,0.0004089749507015239
mlp_margin,0.0015646768707154313,0.0002612339519067475
anchor_mlp_posterior,0.0005970819888581613,0.00048438376426834795
visible_root_count,0.00033683164613884653,0.000658261145008332
all_heads_anchor,-2.786161652362784e-05,0.0008014619969140546
graph_bayes_agree,-0.000659363174223826,0.0007910260007558123
mlp_confidence,-0.001006927237417743,0.0007721223339947625
mlp_entropy,-0.0014331405720395818,0.0009265735213346282
anchor_graph_rank,-0.0020798745686563813,0.0003360663948715481
pair_coverage,-0.004950757521827109,0.0007719491006081269
