cohort,policy_name,dataset_name,budget,split,num_workups,candidate_pool_recall_count,candidate_pool_recall,current_pool_recall_count,current_pool_recall,recoveries_vs_current_pool,lost_truth_vs_current_pool,mean_pool_size,median_pool_size,p90_pool_size,mean_pool_size_delta,mean_questions
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,5,ALL,10,10,1.0,10,1.0,0,0,19.5,20.0,23.1,11.5,4.6
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,10,ALL,10,10,1.0,10,1.0,0,0,17.7,17.0,22.2,9.7,7.3
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,15,ALL,10,10,1.0,10,1.0,0,0,19.1,18.0,24.1,11.1,9.2
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,5,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,3.7
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,10,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,5.2
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,15,ALL,10,10,1.0,10,1.0,0,0,4.0,4.0,4.0,0.0,6.1
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,5,ALL,10,8,0.8,7,0.7,1,0,15.3,14.0,17.599999999999998,7.3,3.7
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,10,ALL,10,8,0.8,8,0.8,0,0,15.5,14.5,19.4,7.5,5.8
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,15,ALL,10,8,0.8,7,0.7,1,0,15.6,15.0,17.599999999999998,7.6,6.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ALL,-1,test,18,18,1.0,18,1.0,0,0,13.0,14.0,22.0,6.333333333333333,5.333333333333333
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ALL,-1,train,54,48,0.8888888888888888,46,0.8518518518518519,2,0,12.796296296296296,14.0,23.0,6.12962962962963,5.351851851851852
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ALL,-1,validate,18,18,1.0,18,1.0,0,0,12.333333333333334,15.0,17.6,5.666666666666667,7.277777777777778
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,5,test,2,2,1.0,2,1.0,0,0,20.5,20.5,21.7,12.5,4.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,5,train,6,6,1.0,6,1.0,0,0,18.666666666666668,19.0,22.5,10.666666666666666,4.666666666666667
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,5,validate,2,2,1.0,2,1.0,0,0,21.0,21.0,22.6,13.0,5.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,10,test,2,2,1.0,2,1.0,0,0,20.0,20.0,21.6,12.0,7.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,10,train,6,6,1.0,6,1.0,0,0,17.5,17.0,21.0,9.5,6.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,10,validate,2,2,1.0,2,1.0,0,0,16.0,16.0,16.8,8.0,10.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,15,test,2,2,1.0,2,1.0,0,0,22.0,22.0,22.8,14.0,10.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,15,train,6,6,1.0,6,1.0,0,0,19.333333333333332,18.0,24.5,11.333333333333334,7.833333333333333
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,ddxplus,15,validate,2,2,1.0,2,1.0,0,0,15.5,15.5,15.9,7.5,12.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,5,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,5,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,3.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,5,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,10,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,4.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,10,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,4.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,10,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,8.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,15,test,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,6.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,15,train,6,6,1.0,6,1.0,0,0,4.0,4.0,4.0,0.0,5.166666666666667
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,icraft_md,15,validate,2,2,1.0,2,1.0,0,0,4.0,4.0,4.0,0.0,9.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,5,test,2,2,1.0,2,1.0,0,0,14.0,14.0,14.8,6.0,3.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,5,train,6,4,0.6666666666666666,3,0.5,1,0,15.833333333333334,14.0,20.0,7.833333333333333,3.8333333333333335
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,5,validate,2,2,1.0,2,1.0,0,0,15.0,15.0,15.8,7.0,4.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,10,test,2,2,1.0,2,1.0,0,0,14.0,14.0,14.8,6.0,4.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,10,train,6,4,0.6666666666666666,4,0.6666666666666666,0,0,16.166666666666668,14.5,21.0,8.166666666666666,6.333333333333333
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,10,validate,2,2,1.0,2,1.0,0,0,15.0,15.0,15.8,7.0,6.0
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,15,test,2,2,1.0,2,1.0,0,0,14.5,14.5,15.7,6.5,5.5
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,15,train,6,4,0.6666666666666666,3,0.5,1,0,15.666666666666666,14.0,20.0,7.666666666666667,5.833333333333333
prospective90,saved_sources_plus_ddx_bayes10_plus_visible_rare_hpo10_v1,rarebench,15,validate,2,2,1.0,2,1.0,0,0,16.5,16.5,16.9,8.5,7.0
