policy_name,branch_trigger_threshold,continuation_value_threshold,max_branches,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
adaptive_value_branching_v1,0.75,0.25,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.75,0.3,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.2,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.25,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8,0.3,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.2,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.25,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.805,0.3,3,49,49,1.0,48,0.9795918367346939,7.163265306122449,9.673469387755102,5.0,19.80000000000001,46.19999999999999,56.0,6,6,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8058,0.1,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
adaptive_value_branching_v1,0.8058,0.125,3,49,49,1.0,48,0.9795918367346939,7.122448979591836,9.775510204081632,5.0,19.80000000000001,46.79999999999998,61.0,5,5,8,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
