policy_name,cohort,dataset_name,budget,split,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,candidate_pool_recall,mean_candidate_pool_size
notebook46_current_live,transfer_old90,ddxplus,15,ALL,10,8,0.8,9,0.9,9,0.9,0,0,0,,
notebook46_current_live,transfer_old90,icraft_md,5,ALL,10,9,0.9,10,1.0,10,1.0,0,0,0,,
notebook46_current_live,transfer_old90,icraft_md,10,ALL,10,10,1.0,10,1.0,10,1.0,0,0,0,,
notebook46_current_live,transfer_old90,icraft_md,15,ALL,10,9,0.9,10,1.0,10,1.0,0,0,0,,
notebook46_current_live,transfer_old90,rarebench,5,ALL,10,8,0.8,8,0.8,8,0.8,0,0,0,,
notebook46_current_live,transfer_old90,rarebench,10,ALL,10,8,0.8,8,0.8,8,0.8,0,0,0,,
notebook46_current_live,transfer_old90,rarebench,15,ALL,10,8,0.8,8,0.8,8,0.8,0,0,0,,
notebook46_current_live,transfer_old90,ALL,-1,transfer,90,73,0.8111111111111111,77,0.8555555555555555,77,0.8555555555555555,0,0,0,,
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,ALL,-1,ALL,90,89,0.9888888888888889,89,0.9888888888888889,89,0.9888888888888889,16,0,16,0.9888888888888889,12.622222222222222
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,ddxplus,5,ALL,10,10,1.0,10,1.0,10,1.0,4,0,4,1.0,19.0
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,ddxplus,10,ALL,10,10,1.0,10,1.0,10,1.0,3,0,3,1.0,19.9
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,ddxplus,15,ALL,10,10,1.0,10,1.0,10,1.0,2,0,2,1.0,20.7
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,icraft_md,5,ALL,10,10,1.0,10,1.0,10,1.0,1,0,1,1.0,4.0
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,icraft_md,10,ALL,10,10,1.0,10,1.0,10,1.0,0,0,0,1.0,4.0
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,icraft_md,15,ALL,10,10,1.0,10,1.0,10,1.0,1,0,1,1.0,4.0
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,rarebench,5,ALL,10,10,1.0,10,1.0,10,1.0,2,0,2,1.0,13.8
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,rarebench,10,ALL,10,9,0.9,9,0.9,9,0.9,1,0,1,0.9,14.2
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,rarebench,15,ALL,10,10,1.0,10,1.0,10,1.0,2,0,2,1.0,14.0
transfer_recovered_candidate_pool_oracle_non_deployable,transfer_old90,ALL,-1,transfer,90,89,0.9888888888888889,89,0.9888888888888889,89,0.9888888888888889,16,0,16,0.9888888888888889,12.622222222222222
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,ALL,-1,ALL,90,75,0.8333333333333334,81,0.9,82,0.9111111111111111,2,0,3,0.9888888888888889,12.622222222222222
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,ddxplus,5,ALL,10,6,0.6,6,0.6,7,0.7,0,0,1,1.0,19.0
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,ddxplus,10,ALL,10,8,0.8,10,1.0,10,1.0,1,0,1,1.0,19.9
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,ddxplus,15,ALL,10,9,0.9,9,0.9,9,0.9,1,0,1,1.0,20.7
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,icraft_md,5,ALL,10,9,0.9,10,1.0,10,1.0,0,0,0,1.0,4.0
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,icraft_md,10,ALL,10,10,1.0,10,1.0,10,1.0,0,0,0,1.0,4.0
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,icraft_md,15,ALL,10,9,0.9,10,1.0,10,1.0,0,0,0,1.0,4.0
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,rarebench,5,ALL,10,8,0.8,8,0.8,8,0.8,0,0,0,1.0,13.8
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,rarebench,10,ALL,10,8,0.8,9,0.9,9,0.9,0,0,0,0.9,14.2
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,rarebench,15,ALL,10,8,0.8,9,0.9,9,0.9,0,0,0,1.0,14.0
recovered_pool_logistic_evidence_card_resolver_v1,transfer_old90,ALL,-1,transfer,90,75,0.8333333333333334,81,0.9,82,0.9111111111111111,2,0,3,0.9888888888888889,12.622222222222222
