feature,importance_mean,importance_std
bayes_top_posterior,0.02390857666218016,0.013940320383248661
anchor_bayes_posterior,0.017491981810146273,0.0040962211927514924
ledger_disagrees_anchor,0.014028948077509096,0.0017053237991747627
anchor_graph_rank,0.012277252571480324,0.0018732805043540357
bayes_margin,0.010089679906209514,0.008709623105397968
graph_margin,0.008086685379180336,0.008733523239775276
anchor_graph_score,0.007854752039750612,0.0023427676080207682
mlp_confidence,0.005384672030552429,0.006287959615110583
graph_top_score,0.004916211162561301,0.0004578781805463783
visible_root_count,0.003255879673113915,0.001906408687925576
anchor_mlp_posterior,0.0023900327507533348,0.0005429810506997201
mlp_margin,0.0017540577605579255,0.0026162934942073335
pair_missing_utility,-8.537214243059532e-05,0.0021571023183379334
anchor_mlp_rank,-0.0007087326358069523,3.0757269771974904e-05
anchor_bayes_rank,-0.0007708389165088092,0.0009033895879186349
mlp_entropy,-0.0008231724533079854,0.004893977666289628
pair_coverage,-0.0013158225071132068,0.0048463819391815766
all_heads_anchor,-0.0016535578684537255,0.0010714462270797198
graph_bayes_agree,-0.0034936187211146996,0.004789891915109423
request_count,-0.004066633328346614,0.0007166716155270758
